,Model,Accuracy,Bal Acc.,Time
1,Random Forest,85.4655870445344,80.09319819762334,12.827003955841064
2,Extra Trees,81.90283400809717,62.761727597097206,3.478292465209961
3,LightGBM,79.95951417004049,75.89999647171783,5.346399784088135
4,AdaBoost,75.30364372469636,72.49711544163958,21.134260654449463
5,SVM,73.40080971659918,73.23867177441815,2469.13081741333
6,Decision Tree,69.47368421052632,56.63281968050779,0.16946840286254883
