iter	Passed	Remaining
403	11514	16986
404	11541	16955
405	11568	16925
406	11598	16899
407	11627	16871
408	11657	16844
409	11684	16813
410	11712	16784
411	11740	16755
412	11768	16727
413	11798	16700
414	11824	16668
415	11852	16639
416	11878	16606
417	11904	16574
418	11930	16543
419	11956	16510
420	11984	16482
421	12011	16451
422	12038	16421
423	12069	16395
424	12097	16367
425	12125	16338
426	12178	16341
427	12204	16310
428	12232	16280
429	12265	16259
430	12295	16231
431	12324	16204
432	12352	16175
433	12381	16146
434	12411	16120
435	12435	16086
436	12461	16054
437	12490	16027
438	12517	15995
439	12542	15963
440	12571	15935
441	12599	15906
442	12624	15873
443	12652	15844
444	12681	15816
445	12709	15786
446	12737	15758
447	12766	15730
448	12794	15700
449	12821	15670
450	12850	15642
451	12879	15615
452	12905	15583
453	12933	15554
454	12957	15520
455	12986	15492
456	13013	15462
457	13040	15431
458	13069	15403
459	13096	15373
460	13121	15341
461	13148	15311
462	13173	15278
463	13199	15248
464	13226	15218
465	13255	15189
466	13284	15161
467	13311	15132
468	13339	15102
469	13365	15071
470	13394	15043
471	13420	15012
472	13447	14982
473	13489	14969
474	13517	14940
475	13544	14910
476	13568	14877
477	13595	14846
478	13624	14818
479	13650	14787
480	13675	14756
481	13701	14725
482	13729	14695
483	13757	14666
484	13785	14638
485	13813	14609
486	13839	14577
487	13866	14548
488	13893	14518
489	13920	14488
490	13946	14457
491	13973	14428
492	14002	14400
493	14028	14369
494	14057	14341
495	14083	14310
496	14112	14283
497	14142	14256
498	14171	14228
499	14198	14198
500	14225	14169
501	14252	14138
502	14279	14109
503	14309	14082
504	14351	14066
505	14378	14037
506	14406	14009
507	14432	13977
508	14458	13946
509	14485	13917
510	14513	13889
511	14539	13858
512	14566	13828
513	14599	13804
514	14627	13775
515	14657	13748
516	14688	13722
517	14716	13694
518	14744	13664
519	14769	13633
520	14794	13601
521	14824	13575
522	14850	13544
523	14878	13515
524	14902	13483
525	14941	13464
526	14966	13433
527	14996	13405
528	15025	13378
529	15056	13352
530	15094	13332
531	15128	13308
532	15155	13279
533	15184	13250
534	15210	13219
535	15237	13190
536	15265	13161
537	15290	13130
538	15319	13102
539	15348	13074
540	15375	13045
541	15402	13015
542	15431	12987
543	15457	12957
544	15481	12925
545	15510	12897
546	15536	12866
547	15564	12837
548	15592	12809
549	15617	12778
550	15646	12749
551	15673	12720
552	15705	12694
553	15732	12665
554	15759	12635
555	15785	12606
556	15811	12575
557	15839	12546
558	15868	12518
559	15896	12489
560	15923	12460
561	15953	12433
562	15981	12404
563	16008	12375
564	16037	12347
565	16065	12318
566	16090	12287
567	16116	12257
568	16147	12230
569	16176	12203
570	16203	12174
571	16231	12144
572	16255	12113
573	16283	12084
